item no.,Type,Ratio,Power,Speed,Torque,S.F,Voltage System,Rated Current (at 400 V),Brake Volt / Torque / Rectifier,Shaft / Flange,MTG/KK,MOTOR FLANGE,Serial No.,ID No.,Machine No.
1,K37DRS71S4BE05,49.79,0.37,1380/28,127,1.55,230/400,1.53,400/2.5/BG,D30,M1A,120,40.1386059306.0001.11,303.04979.3B.0001,1305M1
2,KA37DRE80M4,24.99,0.75,1435/57,125,1.6,230/400,1.75,,D30,M1A,120,40.1386059305.0002.11,323.02499.50.0002,1200M1
3,KA37DRE80M4,24.99,0.75,1435/57,125,1.6,230/400,1.75,,D30,M1A,120,40.1386059305.0001.11,323.02499.50.0003,1203M1
4,KA37/TDRE90M4,13.08,1.1,1420/109,97,1.7,230/400,2.55,,D30,M1A/180,120,40.1388005304.0002.11,323.01308.60.0004,675M1
5,KA37/TDRE90M4,13.08,1.1,1420/109,97,1.7,230/400,2.55,,D30,M1A/180,120,40.1388005304.0001.11,323.01308.60.0005,680M1
6,KA37DRE90M4,17.15,1.1,1420/83,127,1.4,230/400,2.55,,D30,M4B,120,391173780.5.01.39001,323.01715.60.0006,945M1
7,KA37DRE90M4,17.15,1.1,1420/83,127,1.4,230/400,2.55,,D30,M4A,120,40.1390182010.0001.11,323.01715.60.0007,950M1
8,KHZ37DRE90M4,17.15,1.1,1420/83,127,1.4,230/400,2.55,,S30/80ZR,M2B/0,120,40.1384285508.0001.11,373.01715.60.0008,550M1ACMI
9,KA37DRE90M4,23.36,1.1,1420/61,173,1.15,230/400,2.55,,D30,M1B/90,120,40.1387857803.0001.11,323.02336.60.0009,1005M1
10,KA37DRE90M4,23.36,1.1,1420/61,173,1.15,230/400,2.55,,D30,M4B/0,120,,323.02336.60.0010,925M1
11,KA37DRE90M4,23.36,1.1,1420/61,173,1.15,230/400,2.55,,D30,M4A/90,120,40.1390182088.0001.11,323.02336.60.0011,930M1
12,KA37DRE90M4,24.99,1.1,1420/57,185,1.1,230/400,2.55,,D30,M1A/270,120,40.1387857802.0001.11,323.02499.60.0012,510M1
13,KA37DRE90M4,24.99,1.1,1420/57,185,1.1,230/400,2.55,,D30,M1A,120,40.1386059304.0001.11,323.02499.60.0013,1295M1
14,KA37DRE90M4,24.99,1.1,1420/57,185,1.1,230/400,2.55,,D30,M1A,120,40.1386059304.0002.11,323.02499.60.0014,1300M1
15,KA37/TDRE90L4,10.49,1.5,1430/136,105,1.5,230/400,3.45,,D30,M1B/0,120,40.1388005303.0001.11,323.01049.70.0015,605M1
16,KA37/TDRE90L4,10.49,1.5,1430/136,105,1.5,230/400,3.45,,D30,M1A/180,120,40.1388005308.0001.11,323.01049.70.0016,670M1
17,KA37/TDRE90L4,12.14,1.5,1430/118,122,1.3,230/400,3.45,,D30,M1B/0,120,40.1388005301.0004.11,323.01214.70.0017,585M1
18,KA37/TDRE90L4,12.14,1.5,1430/118,122,1.3,230/400,3.45,,D30,M1B/0,120,???,323.01214.70.0018,590M1
19,KA37/TDRE90L4,12.14,1.5,1430/118,122,1.3,230/400,3.45,,D30,M1A/180,120,40.1388005302.0002.11,323.01214.70.0019,595M1
20,KA37/TDRE90L4,12.14,1.5,1430/118,122,1.3,230/400,3.45,,D30,M1B/0,120,40.1388005301.0002.11,323.01214.70.0020,600M1
